ENTREZID	SYMBOL	GENENAME	logFC	AveExpr	t	P.Value	adj.P.Val
12992	Csn1s2b	casein alpha s2-like B	-8.603611114762	3.56295004142591	-43.7964980711435	3.83064977005569e-15	6.05395889659601e-11
13358	Slc25a1	solute carrier family 25 (mitochondrial carrier, citrate transporter), member 1	-4.12417532129173	5.77969894403042	-29.9078492752674	1.75859473379618e-13	1.38964155864574e-09
11941	Atp2b2	ATPase, Ca++ transporting, plasma membrane 2	-7.38698638678659	1.28214314739647	-27.8194991746381	4.83636254056037e-13	2.43279979019347e-09
20531	Slc34a2	solute carrier family 34 (sodium phosphate), member 2	-4.17781242057656	4.27862903538987	-27.0727230566646	6.15742796809282e-13	2.43279979019347e-09
100705	Acacb	acetyl-Coenzyme A carboxylase beta	-4.3143199499725	4.4409137064501	-25.2235657685746	1.4999774593805e-12	4.74112875360987e-09
13645	Egf	epidermal growth factor	-5.36266382024579	0.73590465313728	-24.5993025952199	2.11624444834827e-12	5.57418787694935e-09
230810	Slc30a2	solute carrier family 30 (zinc transporter), member 2	-3.20311813582619	2.69581147606106	-23.80427759327	3.02466813499713e-12	6.82883645792781e-09
68801	Elovl5	ELOVL family member 5, elongation of long chain fatty acids (yeast)	-2.86330403668687	6.45520453127796	-22.3535751591657	6.5987442593808e-12	1.30358192844068e-08
19659	Rbp1	retinol binding protein 1, cellular	5.44304402150002	6.10703318183881	21.0523576693295	1.47914323855668e-11	2.36474559807046e-08
26366	Ceacam10	carcinoembryonic antigen-related cell adhesion molecule 10	-3.29562117486522	1.8210142363816	-20.9392688664192	1.49629562014076e-11	2.36474559807046e-08
69219	Ddah1	dimethylarginine dimethylaminohydrolase 1	-6.26498283726091	1.1766693422008	-20.867105414675	1.69623066588679e-11	2.43702085851589e-08
12683	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	-4.8406546880817	3.37495746923154	-23.347534339597	2.75773160776795e-11	3.63193252743038e-08
68603	Pmvk	phosphomevalonate kinase	-2.67698332922956	4.72310683626999	-19.5966455191741	3.37609205160327e-11	3.98506308638914e-08
20440	St6gal1	beta galactoside alpha 2,6 sialyltransferase 1	-2.84727572885845	5.91597724171743	-19.5286765009407	3.53017484241002e-11	3.98506308638914e-08
19041	Ppl	periplakin	3.60983076803323	6.38702826605124	19.3731407085569	3.94299083572312e-11	3.99479823506706e-08
170439	Elovl6	ELOVL family member 6, elongation of long chain fatty acids (yeast)	-3.18153639456605	5.03260363470439	-19.3217754490777	4.04434141743059e-11	3.99479823506706e-08
14598	Ggt1	gamma-glutamyltransferase 1	-3.01819177566823	6.09575392527724	-18.8509168394327	5.47272875410914e-11	5.08770618999652e-08
67547	Slc39a8	solute carrier family 39 (metal ion transporter), member 8	-6.57542626176055	3.4057103465125	-18.5367056571756	7.4275478207123e-11	6.5213869865854e-08
72027	Slc39a4	solute carrier family 39 (zinc transporter), member 4	4.36202146098309	2.74878975970563	18.289491654974	8.16792996694652e-11	6.79399816829594e-08
20249	Scd1	stearoyl-Coenzyme A desaturase 1	-3.2965771952056	9.11095382270532	-18.0861435525273	9.15509312343423e-11	7.23435458613773e-08
12705	Cited1	Cbp/p300-interacting transactivator with Glu/Asp-rich carboxy-terminal domain 1	-3.53255389793532	3.32369566578069	-17.9832715685298	9.86222724391867e-11	7.42203044585194e-08
52150	Kcnk6	potassium inwardly-rectifying channel, subfamily K, member 6	-2.41754256569597	3.22306911995923	-17.7340465116422	1.15462005711576e-10	8.29437062848067e-08
224022	Slc7a4	solute carrier family 7 (cationic amino acid transporter, y+ system), member 4	-2.67933511355138	2.89934072975042	-17.5679427379804	1.29864458372616e-10	8.92338217443835e-08
74413	Tc2n	tandem C2 domains, nuclear	-3.30963763416873	2.49144504954335	-17.5158673280045	1.35776505335215e-10	8.94088287632388e-08
56072	Lgals12	lectin, galactose binding, soluble 12	-2.36670331390876	3.01334054334204	-17.3480405724431	1.51241057026553e-10	9.21056351570098e-08
11416	Slc33a1	solute carrier family 33 (acetyl-CoA transporter), member 1	-2.60370108406379	4.25732713093757	-17.3476196431937	1.51527873581515e-10	9.21056351570098e-08
13032	Ctsc	cathepsin C	-3.41732931323235	5.24405933927924	-17.6271800391368	1.670387787323e-10	9.77733651513065e-08
19224	Ptgs1	prostaglandin-endoperoxide synthase 1	-4.15827108171339	3.57030728415102	-17.8065115593019	1.93214105420233e-10	1.07130041889876e-07
64291	Osbpl1a	oxysterol binding protein-like 1A	-2.54655643603922	5.53235616042689	-16.9825429562533	1.96581322121387e-10	1.07130041889876e-07
27224	Eloa	elongin A	-2.0355277664516	6.69241038295081	-16.6806858249745	2.44231129048752e-10	1.28660958782882e-07
76113	Lpo	lactoperoxidase	-3.49148878086375	2.21764250126877	-16.6717463842146	2.94252110452151e-10	1.44336520609932e-07
217294	BC006965	cDNA sequence BC006965	3.72849332250629	4.18726791262169	16.4374749383748	2.981321886585e-10	1.44336520609932e-07
30935	Tor3a	torsin family 3, member A	-3.53674447548371	4.6347866747021	-16.3944986009688	3.06606746478578e-10	1.44336520609932e-07
60525	Acss2	acyl-CoA synthetase short-chain family member 2	-2.54843476810072	4.11490301706637	-16.3247354762491	3.18690482719292e-10	1.44336520609932e-07
110460	Acat2	acetyl-Coenzyme A acetyltransferase 2	-2.49264588893874	4.43487664288647	-16.3201690363808	3.19651874294333e-10	1.44336520609932e-07
13631	Eef2k	eukaryotic elongation factor-2 kinase	-1.90296744099938	5.91832665330101	-16.1671337780118	3.57738961814187e-10	1.57047404236428e-07
70358	Steap1	six transmembrane epithelial antigen of the prostate 1	-3.90707489906549	1.150414785862	-15.8208736669427	4.77275687180324e-10	2.03365405802436e-07
213006	Mfsd4a	major facilitator superfamily domain containing 4A	-2.55635552471991	3.93549440965347	-15.729471370317	5.01241891582679e-10	2.03365405802436e-07
14618	Gjb1	gap junction protein, beta 1	-6.0044435982195	-1.26680397120278	-15.8385568833484	5.01865458285935e-10	2.03365405802436e-07
66120	Fkbp11	FK506 binding protein 11	-2.26258446867304	4.95609095954927	-15.6928968424507	5.14718820051724e-10	2.03365405802436e-07
231070	Insig1	insulin induced gene 1	-4.13647897001852	5.36552934891357	-17.9237919809948	5.45685589302803e-10	2.10341830569305e-07
72685	Dnajc6	DnaJ heat shock protein family (Hsp40) member C6	-2.82165537535613	1.61894560367942	-15.5745669018233	5.66772946404213e-10	2.13268562975528e-07
17341	Bhlha15	basic helix-loop-helix family, member a15	-2.88200610416932	1.74528365582872	-15.4666320136568	6.17192597411212e-10	2.24118847365493e-07
