date,industry,count
1984-11-01,"Agriculture, Forestry and Fishing",403.03
1984-11-01,Mining,94.817
1984-11-01,Manufacturing,1096.201
1984-11-01,"Electricity, Gas, Water and Waste Services",152.319
1984-11-01,Construction,452.899
1984-11-01,Wholesale Trade,347.955
1984-11-01,Retail Trade,688.679
1984-11-01,Accommodation and Food Services,327.448
1984-11-01,"Transport, Postal and Warehousing",387.244
1984-11-01,Information Media and Telecommunications,157.94
1984-11-01,Financial and Insurance Services,264.032
1984-11-01,"Rental, Hiring and Real Estate Services",80.928
1984-11-01,"Professional, Scientific and Technical Services",260.723
1984-11-01,Administrative and Support Services,119.745
1984-11-01,Public Administration and Safety,387.161
1984-11-01,Education and Training,450.241
1984-11-01,Health Care and Social Assistance,540.956
1984-11-01,Arts and Recreation Services,70.767
1984-11-01,Other Services,274.491
1985-02-01,"Agriculture, Forestry and Fishing",403.756
1985-02-01,Mining,95.062
1985-02-01,Manufacturing,1091.798
1985-02-01,"Electricity, Gas, Water and Waste Services",138.178
1985-02-01,Construction,474.557
1985-02-01,Wholesale Trade,356.122
1985-02-01,Retail Trade,690.108
1985-02-01,Accommodation and Food Services,327.863
1985-02-01,"Transport, Postal and Warehousing",402.422
1985-02-01,Information Media and Telecommunications,160.638
1985-02-01,Financial and Insurance Services,265.826
1985-02-01,"Rental, Hiring and Real Estate Services",86.894
1985-02-01,"Professional, Scientific and Technical Services",262.576
1985-02-01,Administrative and Support Services,121.832
1985-02-01,Public Administration and Safety,389.255
1985-02-01,Education and Training,454.42
1985-02-01,Health Care and Social Assistance,539.381
1985-02-01,Arts and Recreation Services,74.341
1985-02-01,Other Services,282.056
1985-05-01,"Agriculture, Forestry and Fishing",391.292
1985-05-01,Mining,95.006
1985-05-01,Manufacturing,1079.604
1985-05-01,"Electricity, Gas, Water and Waste Services",143.659
1985-05-01,Construction,483.089
1985-05-01,Wholesale Trade,346.706
1985-05-01,Retail Trade,704.852
1985-05-01,Accommodation and Food Services,328.985
1985-05-01,"Transport, Postal and Warehousing",406.13
1985-05-01,Information Media and Telecommunications,164.14
1985-05-01,Financial and Insurance Services,277.291
1985-05-01,"Rental, Hiring and Real Estate Services",91.169
1985-05-01,"Professional, Scientific and Technical Services",272.418
1985-05-01,Administrative and Support Services,124.24
1985-05-01,Public Administration and Safety,387.48
1985-05-01,Education and Training,453.149
1985-05-01,Health Care and Social Assistance,523.335
1985-05-01,Arts and Recreation Services,75.674
1985-05-01,Other Services,284.329
1985-08-01,"Agriculture, Forestry and Fishing",421.721
1985-08-01,Mining,105.61
1985-08-01,Manufacturing,1068.402
1985-08-01,"Electricity, Gas, Water and Waste Services",151.351
1985-08-01,Construction,485.225
1985-08-01,Wholesale Trade,357.507
1985-08-01,Retail Trade,720.227
1985-08-01,Accommodation and Food Services,326.059
1985-08-01,"Transport, Postal and Warehousing",412.86
1985-08-01,Information Media and Telecommunications,165.971
1985-08-01,Financial and Insurance Services,278.935
1985-08-01,"Rental, Hiring and Real Estate Services",93.665
1985-08-01,"Professional, Scientific and Technical Services",274.928
1985-08-01,Administrative and Support Services,125.194
