time_period,measure,sex,obs_value,last_obs_value,change_obs_value
2019-01-01,part-time,female,2755.150353,NA,0
2019-02-01,part-time,female,2752.27990018,2755.150353,-2.8704528200000823
2019-03-01,part-time,female,2741.10430902,2752.27990018,-11.17559115999984
2019-04-01,part-time,female,2764.25526075,2741.10430902,23.150951730000088
2019-05-01,part-time,female,2779.4788617,2764.25526075,15.223600949999764
2019-06-01,part-time,female,2774.02103181,2779.4788617,-5.457829890000085
2019-07-01,part-time,female,2750.68745436,2774.02103181,-23.333577449999666
2019-08-01,part-time,female,2798.62111697,2750.68745436,47.93366260999983
2019-09-01,part-time,female,2799.36549782,2798.62111697,0.7443808500001978
2019-10-01,part-time,female,2790.21256516,2799.36549782,-9.15293266000026
2019-11-01,part-time,female,2799.34435166,2790.21256516,9.13178650000009
2019-12-01,part-time,female,2789.19004431,2799.34435166,-10.154307350000181
2020-01-01,part-time,female,2814.29760561,2789.19004431,25.10756130000027
2020-02-01,part-time,female,2821.46488451,2814.29760561,7.167278899999928
2020-03-01,part-time,female,2819.35354649,2821.46488451,-2.1113380199999483
2020-04-01,part-time,female,2602.94794563,2819.35354649,-216.40560086000005
2020-05-01,part-time,female,2487.29592504,2602.94794563,-115.65202059000012
2020-06-01,part-time,female,2633.23343947,2487.29592504,145.9375144300002
2020-07-01,part-time,female,2663.2367997,2633.23343947,30.00336023
2020-08-01,part-time,female,2750.27728303,2663.2367997,87.04048332999992
2020-09-01,part-time,female,2733.68908885,2750.27728303,-16.588194179999846
2020-10-01,part-time,female,2785.44492623,2733.68908885,51.755837379999775
2020-11-01,part-time,female,2781.00918443,2785.44492623,-4.43574179999996
2020-12-01,part-time,female,2790.80481131,2781.00918443,9.795626879999872
2021-01-01,part-time,female,2766.83900987,2790.80481131,-23.965801439999723
2021-02-01,part-time,female,2772.33624786,2766.83900987,5.4972379900000305
2021-03-01,part-time,female,2851.90533773,2772.33624786,79.56908986999997
2021-04-01,part-time,female,2808.89160735,2851.90533773,-43.0137303800002
2021-05-01,part-time,female,2812.07816939,2808.89160735,3.186562039999899
2021-06-01,part-time,female,2809.36752303,2812.07816939,-2.710646359999828
2021-07-01,part-time,female,2803.93750108,2809.36752303,-5.430021950000082
2021-08-01,part-time,female,2756.25992011,2803.93750108,-47.67758096999978
2021-09-01,part-time,female,2637.484322,2756.25992011,-118.77559811000037
2021-10-01,part-time,female,2624.68738169,2637.484322,-12.796940309999627
2021-11-01,part-time,female,2794.55622051,2624.68738169,169.86883881999984
2021-12-01,part-time,female,2808.63208753,2794.55622051,14.075867019999805
2022-01-01,part-time,female,2868.76264298,2808.63208753,60.130555449999974
2022-02-01,part-time,female,2842.38686102,2868.76264298,-26.375781959999586
2022-03-01,part-time,female,2832.15736145,2842.38686102,-10.229499570000371
2019-01-01,part-time,all,4010.16209233,NA,0
2019-02-01,part-time,all,4018.97545643,4010.16209233,8.813364099999944
2019-03-01,part-time,all,3999.74745614,4018.97545643,-19.228000290000182
2019-04-01,part-time,all,4035.3782437,3999.74745614,35.630787560000044
2019-05-01,part-time,all,4073.39506685,4035.3782437,38.016823150000164
2019-06-01,part-time,all,4056.42310371,4073.39506685,-16.971963140000298
2019-07-01,part-time,all,4046.9619813,4056.42310371,-9.461122409999916
2019-08-01,part-time,all,4101.93631821,4046.9619813,54.97433690999969
2019-09-01,part-time,all,4088.44444531,4101.93631821,-13.491872899999635
2019-10-01,part-time,all,4066.13444638,4088.44444531,-22.309998929999892
2019-11-01,part-time,all,4100.43626171,4066.13444638,34.3018153299995
2019-12-01,part-time,all,4130.37831051,4100.43626171,29.94204880000052
2020-01-01,part-time,all,4106.44708425,4130.37831051,-23.931226259999676
2020-02-01,part-time,all,4125.91204341,4106.44708425,19.464959159999125
2020-03-01,part-time,all,4128.8389609,4125.91204341,2.9269174900000507
2020-04-01,part-time,all,3762.43518958,4128.8389609,-366.4037713199996
2020-05-01,part-time,all,3594.4210216,3762.43518958,-168.0141679799999
2020-06-01,part-time,all,3846.25488397,3594.4210216,251.83386236999968
2020-07-01,part-time,all,3921.89803494,3846.25488397,75.64315097000008
2020-08-01,part-time,all,4040.79370451,3921.89803494,118.89566957000034
2020-09-01,part-time,all,4040.751199,4040.79370451,-0.04250551000041014
2020-10-01,part-time,all,4106.3199536,4040.751199,65.56875460000037
2020-11-01,part-time,all,4115.25362318,4106.3199536,8.933669580000242
2020-12-01,part-time,all,4128.29860659,4115.25362318,13.044983409999986
2021-01-01,part-time,all,4109.27917758,4128.29860659,-19.01942901000075
2021-02-01,part-time,all,4109.35004805,4109.27917758,0.07087047000004532
