TIME_PERIOD,MEASURE,SEX,AGE,TSEST,REGION,FREQ,obsValue,UNIT_MEASURE,UNIT_MULT,OBS_STATUS,DECIMALS
2019-01,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-02,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-03,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-04,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-05,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-06,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-07,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-08,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-09,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-10,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-11,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2019-12,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-01,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-02,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-03,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-04,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-05,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-06,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-07,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-08,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-09,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-10,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-11,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2020-12,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2021-01,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2021-02,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2021-03,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2021-04,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
2021-05,M1,3,1599,30,AUS,M,NA,NUM,3,s,1
